game,condition,model,api_model,recommendation,trial,timestamp,raw_response,parsed_action,parse_success,complied,analytical_correct,analytical_identified,error_type,error,analysis_response,reasoning_payoff_calc,reasoning_deviation,reasoning_profitable_deviation,reasoning_ce_label,reasoning_mediator_trust,reasoning_label_skepticism,best_response_action,best_response_payoff,recommendation_payoff,best_response_margin,chose_best_response
3x3 Dominated Strategy,C1,claude-opus-4.6,claude-opus-4-6,Down,0,2026-06-02T15:14:53.324570+00:00,,,False,False,,,PermissionDeniedError,"Error code: 403 - {'error': {'message': 'Insufficient account balance', 'type': 'insufficient_balance'}}",,False,False,False,False,False,False,Down,6.0,6.0,0.0,
3x3 Dominated Strategy,C1,claude-opus-4.6,claude-opus-4-6,Down,1,2026-06-02T15:14:53.338057+00:00,,,False,False,,,PermissionDeniedError,"Error code: 403 - {'error': {'message': 'Insufficient account balance', 'type': 'insufficient_balance'}}",,False,False,False,False,False,False,Down,6.0,6.0,0.0,
3x3 Dominated Strategy,C1,claude-opus-4.6,claude-opus-4-6,Down,2,2026-06-02T15:14:53.342039+00:00,,,False,False,,,PermissionDeniedError,"Error code: 403 - {'error': {'message': 'Insufficient account balance', 'type': 'insufficient_balance'}}",,False,False,False,False,False,False,Down,6.0,6.0,0.0,
3x3 Dominated Strategy,C1,claude-opus-4.6,claude-opus-4-6,Down,3,2026-06-02T15:14:53.344048+00:00,,,False,False,,,PermissionDeniedError,"Error code: 403 - {'error': {'message': 'Insufficient account balance', 'type': 'insufficient_balance'}}",,False,False,False,False,False,False,Down,6.0,6.0,0.0,
3x3 Dominated Strategy,C1,claude-opus-4.6,claude-opus-4-6,Down,4,2026-06-02T15:14:53.350939+00:00,,,False,False,,,PermissionDeniedError,"Error code: 403 - {'error': {'message': 'Insufficient account balance', 'type': 'insufficient_balance'}}",,False,False,False,False,False,False,Down,6.0,6.0,0.0,
3x3 Dominated Strategy,C2,claude-opus-4.6,claude-opus-4-6,Down,0,2026-06-02T15:14:53.373916+00:00,,,False,False,,,PermissionDeniedError,"Error code: 403 - {'error': {'message': 'Insufficient account balance', 'type': 'insufficient_balance'}}",,False,False,False,False,False,False,Down,6.0,6.0,0.0,
3x3 Dominated Strategy,C2,claude-opus-4.6,claude-opus-4-6,Down,1,2026-06-02T15:14:53.360942+00:00,,,False,False,,,PermissionDeniedError,"Error code: 403 - {'error': {'message': 'Insufficient account balance', 'type': 'insufficient_balance'}}",,False,False,False,False,False,False,Down,6.0,6.0,0.0,
3x3 Dominated Strategy,C2,claude-opus-4.6,claude-opus-4-6,Down,2,2026-06-02T15:14:53.368907+00:00,,,False,False,,,PermissionDeniedError,"Error code: 403 - {'error': {'message': 'Insufficient account balance', 'type': 'insufficient_balance'}}",,False,False,False,False,False,False,Down,6.0,6.0,0.0,
3x3 Dominated Strategy,C2,claude-opus-4.6,claude-opus-4-6,Down,3,2026-06-02T15:14:53.369916+00:00,,,False,False,,,PermissionDeniedError,"Error code: 403 - {'error': {'message': 'Insufficient account balance', 'type': 'insufficient_balance'}}",,False,False,False,False,False,False,Down,6.0,6.0,0.0,
3x3 Dominated Strategy,C2,claude-opus-4.6,claude-opus-4-6,Down,4,2026-06-02T15:14:53.379915+00:00,,,False,False,,,PermissionDeniedError,"Error code: 403 - {'error': {'message': 'Insufficient account balance', 'type': 'insufficient_balance'}}",,False,False,False,False,False,False,Down,6.0,6.0,0.0,
